,tailfreq_mean,tailamplitude_max,tailamplitude_mean,boutduration,tailasymmetry,tailvigour
0,16.4473684211,36.1434270795,-3.89540544088,0.152,0.539473684211,332.079895544
1,14.0845070423,21.9790845381,2.91148566704,0.142,0.788732394366,189.884403456
2,14.0845070423,12.1222637024,3.38941955952,0.142,0.816901408451,166.794672244
3,19.0217391304,23.8767630692,0.719971724122,0.184,0.521739130435,361.52133778
4,16.4473684211,9.87600835496,0.43944227872,0.152,0.486842105263,100.355647409
5,15.3846153846,7.48685569099,-1.47715719253,0.13,0.323076923077,81.7564587263
6,11.1940298507,9.02339745344,1.11208628724,0.134,0.567164179104,99.4578573772
7,19.2307692308,14.6349965198,-0.244127129697,0.156,0.512820512821,196.603136877
8,18.115942029,7.70104661857,-0.733451297291,0.138,0.246376811594,120.163335381
9,13.3333333333,20.5906098048,0.968577000973,0.15,0.733333333333,263.471175967
10,17.8571428571,10.8026789524,-0.914451645113,0.14,0.485714285714,150.514916185
11,17.1232876712,7.65692354928,0.541911403944,0.146,0.547945205479,119.820298398
12,18.6567164179,9.65499073929,-1.87243940224,0.134,0.194029850746,108.490040236
13,16.6666666667,14.7827947973,0.0976411354146,0.15,0.44,186.721361826
14,18.3823529412,6.506587134,-0.75301211086,0.136,0.25,107.374600466
15,19.8412698413,6.90989664085,0.612954181683,0.126,0.603174603175,83.5307118299
16,19.8863636364,31.0111903492,0.812207396099,0.176,0.590909090909,408.825339544
17,7.57575757576,6.75235329373,-0.122572581436,0.132,0.621212121212,76.6748328982
18,12.6582278481,12.7624905071,1.45443740759,0.158,0.784810126582,156.800603037
19,17.8571428571,24.7470229482,0.404837697878,0.168,0.678571428571,316.004873938
20,11.0294117647,5.56391011693,0.907685777033,0.136,0.779411764706,72.4857738876
21,15.4320987654,25.6548206637,1.53923305139,0.162,0.679012345679,232.98356457
22,13.8888888889,43.0448552838,6.68428644865,0.18,0.855555555556,366.659435138
23,18.75,23.6512379912,-1.80060323857,0.16,0.55,340.777585138
24,18.9873417722,40.7052457705,0.648075438371,0.158,0.303797468354,574.834211552
25,21.0843373494,36.0755678082,3.78451833834,0.166,0.795180722892,325.261821316
26,18.75,11.4635691084,1.33878819594,0.16,0.7125,152.134260307
27,19.4805194805,8.04435239241,0.0556765565557,0.154,0.636363636364,121.854595932
28,42.9292929293,14.4392633792,1.06598787201,0.198,0.323232323232,174.982583126
29,14.0845070423,19.7257014263,0.545567487059,0.142,0.323943661972,197.102129494
30,15.8227848101,11.0385939136,0.827512037987,0.158,0.518987341772,155.735523524
31,15.243902439,21.9788452519,0.791114602684,0.164,0.548780487805,275.662776946
32,10.4166666667,6.61787045669,1.01103716204,0.144,0.666666666667,87.4305717475
33,16.0256410256,12.6657914019,-0.165504684761,0.156,0.435897435897,173.299540177
34,13.3333333333,11.573942561,-1.08922363504,0.15,0.56,137.894663985
35,18.2926829268,53.0642223231,6.68624844222,0.164,0.670731707317,399.154966201
36,16.4835164835,38.9191944013,5.73320118246,0.182,0.78021978022,367.131826379
37,16.3043478261,29.3342124262,4.63927994115,0.184,0.815217391304,334.241616704
38,14.0845070423,11.7647226196,2.34190757599,0.142,0.87323943662,152.626307834
39,18.6170212766,29.896798829,-0.414962119506,0.188,0.691489361702,376.971571776
40,20.5479452055,7.41737067098,-1.65774137678,0.146,0.191780821918,115.919395922
41,16.6666666667,12.9112261489,-0.568797311256,0.15,0.4,201.895921851
42,20.2702702703,15.0300403954,-2.42977462488,0.148,0.202702702703,167.881918733
43,19.8863636364,18.6116845088,0.616763657933,0.176,0.340909090909,195.406154008
44,10.8695652174,8.06940205862,-0.63142409966,0.138,0.260869565217,88.6785293088
45,16.0256410256,9.53429387476,1.06714668789,0.156,0.769230769231,145.022880927
46,16.8539325843,8.89295451635,-1.11318591267,0.178,0.460674157303,138.589168002
47,16.8539325843,22.3799110312,-0.397077602547,0.178,0.640449438202,378.517939475
48,16.2337662338,5.85839401216,0.936221296953,0.154,0.675324675325,87.6407097999
49,17.2413793103,18.0793157592,2.830034294,0.174,0.816091954023,236.11999067
