,tailamplitude_max,tailvigour,tailfreq_mean,tailcurvature_distal,tailcurvature_proximal,tailvigour60,tailvigour_alltrial,tailcurvature_distal30
0,36.1434270795,332.079895544,16.4473684211,14.290476893,5.30723287592,174.539989467,339.58219109,74.5739013203
1,21.9790845381,189.884403456,14.0845070423,24.2459325145,8.69297221685,84.9331026088,193.802598452,41.0695457379
2,12.1222637024,166.794672244,14.0845070423,12.4348555481,1.69133543283,76.6941312002,169.595394218,32.3175445188
3,23.8767630692,361.52133778,19.0217391304,23.9660132925,5.69274128784,111.448440695,407.628497578,45.5026039048
4,9.87600835496,100.355647409,16.4473684211,0.938440591979,1.22182090871,45.5478707762,104.536724425,0.0257895809711
5,7.48685569099,81.7564587263,15.3846153846,0.364691072003,0.645415941362,44.3055267893,84.3529370985,1.10498618523
6,9.02339745344,99.4578573772,11.1940298507,1.78771954735,1.20549744742,49.3330447092,101.346128235,3.0739592731
7,14.6349965198,196.603136877,19.2307692308,11.800397596,0.0797043589494,75.4083179001,205.252632776,23.0884318166
8,7.70104661857,120.163335381,18.115942029,0.295449608893,1.12467259481,61.9238695119,124.134424202,1.05499272987
9,20.5906098048,263.471175967,13.3333333333,25.6263702642,0.459686985685,123.498390239,267.427231558,58.4003860796
10,10.8026789524,150.514916185,17.8571428571,7.60073329174,0.451609862566,69.6206786666,151.641198344,10.7329943632
11,7.65692354928,119.820298398,17.1232876712,1.17070311955,1.08426910991,53.4172801772,122.801892446,1.30420743637
12,9.65499073929,108.490040236,18.6567164179,1.29856565358,2.10058027274,44.5467106121,110.660646686,0.716024271657
13,14.7827947973,186.721361826,16.6666666667,15.1684381438,1.58588511043,74.1616703407,192.119036263,33.5721456922
14,6.506587134,107.374600466,18.3823529412,0.048872704654,0.910577699257,58.2194946728,110.643341007,1.04277830165
15,6.90989664085,83.5307118299,19.8412698413,0.946561288849,0.653257033597,48.6343741191,83.8505836522,1.58411889435
16,31.0111903492,408.825339544,19.8863636364,19.2336897621,1.64290812835,159.305849003,436.037665051,39.2766862752
17,6.75235329373,76.6748328982,7.57575757576,0.90692192743,0.615156547932,37.4349080092,78.2309955922,0.915333419875
18,12.7624905071,156.800603037,12.6582278481,11.2134036075,0.465436435664,54.5868904559,165.916384779,19.8024451207
19,24.7470229482,316.004873938,17.8571428571,22.3751229906,8.16071160453,112.175085658,331.643006557,37.2212706489
20,5.56391011693,72.4857738876,11.0294117647,0.85538965652,0.230910311289,38.8839839496,73.9843369585,2.00635330495
21,25.6548206637,232.98356457,15.4320987654,12.8590693927,6.28244148256,110.464241487,241.081141782,34.7810682529
22,43.0448552838,366.659435138,13.8888888889,44.0792000232,18.9608428745,193.804838218,387.343886113,74.28997466
23,23.6512379912,340.777585138,18.75,25.2333644276,0.776567077252,137.551487817,352.269951407,53.5302553144
24,40.7052457705,574.834211552,18.9873417722,44.5515120982,10.0274052707,327.718923564,587.345681969,86.0483315199
25,36.0755678082,325.261821316,21.0843373494,26.4850809076,3.20867691936,183.680113003,350.984050911,53.3644277577
26,11.4635691084,152.134260307,18.75,12.7040791665,0.320239323552,51.7369303422,160.751486482,27.1964547149
27,8.04435239241,121.854595932,19.4805194805,0.952073217291,1.51872570956,52.8264277716,127.449158055,1.07235670372
28,14.4392633792,174.982583126,42.9292929293,14.0012224056,0.637233400521,65.2501514429,480.628369597,29.3596803214
29,19.7257014263,197.102129494,14.0845070423,27.7799298548,4.48826246665,115.113674403,199.607644227,72.9571910621
30,11.0385939136,155.735523524,15.8227848101,0.130467882716,0.165827803608,60.3044831738,169.351760115,0.42609681931
31,21.9788452519,275.662776946,15.243902439,21.6069141238,0.93911737224,136.948150283,286.085271108,48.54059414
32,6.61787045669,87.4305717475,10.4166666667,0.791576077466,0.698015269303,36.6784327832,89.3338141106,0.964354072633
33,12.6657914019,173.299540177,16.0256410256,11.5921897598,11.5921897598,69.0822540485,180.848151348,11.5921897598
34,11.573942561,137.894663985,13.3333333333,11.3604045889,7.27199961496,66.7321482843,140.314707015,37.9895686455
35,53.0642223231,399.154966201,18.2926829268,52.9630360483,27.3645757482,152.94988753,412.981153008,82.3155462674
36,38.9191944013,367.131826379,16.4835164835,40.8676757012,16.9430094085,175.55255519,397.238098801,64.3165012182
37,29.3342124262,334.241616704,16.3043478261,30.8364230873,6.92402423085,145.209719588,361.095435643,55.579382188
38,11.7647226196,152.626307834,14.0845070423,9.08517650291,5.71525072434,83.5540657856,157.696093271,28.8174347085
39,29.896798829,376.971571776,18.6170212766,18.8931096382,1.45303452351,134.228099695,419.514740878,40.0063463687
40,7.41737067098,115.919395922,20.5479452055,1.56012562199,1.19780032571,51.3025119012,119.349841414,2.28792792493
41,12.9112261489,201.895921851,16.6666666667,11.8902669031,0.85710092928,80.1042218631,205.712695184,23.8953664129
42,15.0300403954,167.881918733,20.2702702703,0.419009172159,0.533530438768,84.0441713646,173.072215869,0.105215709124
43,18.6116845088,195.406154008,19.8863636364,19.8019441275,3.27937111529,47.7427718051,222.587931001,37.8317904421
44,8.06940205862,88.6785293088,10.8695652174,1.12408929776,1.57648659672,52.3982294179,90.9980796199,0.857973239547
45,9.53429387476,145.022880927,16.0256410256,1.07937172999,1.02928646319,54.3669970372,150.608439436,1.49811130351
46,8.89295451635,138.589168002,16.8539325843,1.82491188353,2.80818275446,49.3240967995,171.813455117,0.564263516537
47,22.3799110312,378.517939475,16.8539325843,10.2134494217,5.07667166467,105.000998908,417.210589456,26.1501007987
48,5.85839401216,87.6407097999,16.2337662338,0.126833249651,0.490837367644,36.34103551,93.5324865983,0.566313161726
49,18.0793157592,236.11999067,17.2413793103,17.604133748,4.11553302365,63.2720937081,254.692530051,29.7125206457
