,tailfreq_mean,tailamplitude_max,tailamplitude_mean,boutduration,tailasymmetry,tailvigour
0,18.75,15.5241109968,-0.892840809685,0.533333333333,0.4125,126.571967319
1,18.6528497409,21.2796044277,3.63938028333,0.643333333333,0.621761658031,120.69116521
2,46.2053571429,71.6169965658,27.7133197013,1.49333333333,0.959821428571,259.916494376
3,18.1415929204,33.5304696671,12.7182775507,1.13,0.976401179941,105.353563913
4,15.4639175258,38.5331179586,-13.3158455804,0.323333333333,0.113402061856,121.810987199
5,29.6915167095,37.6430181998,-5.06251007866,1.29666666667,0.205655526992,119.956574684
6,23.8805970149,58.399649892,-19.985676486,0.67,0.0,161.633974137
7,21.0810810811,12.5196433171,-3.62789481158,0.616666666667,0.286486486486,119.74032927
8,12.5,59.8026441647,-17.2736843559,0.28,0.261904761905,313.627729029
9,23.5074626866,30.9064034186,-11.8005655552,0.893333333333,0.0149253731343,118.490628376
10,20.036101083,29.6630886623,4.41247489689,0.923333333333,0.620938628159,102.253506312
11,16.6666666667,14.0362434679,-3.692380088,0.33,0.191919191919,63.1314524357
12,25.6906077348,32.0870592461,0.500222878674,1.20666666667,0.522099447514,132.394951729
13,14.1509433962,13.7362683056,-8.97016649894,0.176666666667,0.0,97.8996703113
14,26.6666666667,20.6643704445,-8.28079958886,0.15,0.0,143.039397818
15,20.0,9.76311191502,-5.19998876155,0.15,0.0,108.951772996
16,40.6779661017,18.306579106,6.95406844603,0.393333333333,0.847457627119,235.195429321
17,27.1812080537,48.1863729746,-2.85961590512,0.496666666667,0.342281879195,437.828908078
18,46.875,23.7759235418,7.21230737014,0.48,0.916666666667,180.06546491
19,20.3389830508,43.5797344536,-17.1461734222,0.59,0.129943502825,110.122263936
20,16.8367346939,35.9605171966,16.512497507,0.326666666667,1.0,149.095975479
21,11.5384615385,94.9863337712,19.8570559976,0.303333333333,0.967032967033,373.480063708
22,16.6666666667,26.2559042877,-7.81279196397,0.3,0.2,116.973185654
23,16.5071770335,60.1199873982,26.9434426488,0.696666666667,1.0,133.825062308
24,12.2950819672,96.4326539241,28.7334663531,0.406666666667,0.803278688525,102.055072167
25,17.4757281553,24.8094083755,-9.20691284726,0.343333333333,0.233009708738,179.353484207
