,tailamplitude_max,tailvigour,tailfreq_mean,tailcurvature_distal,tailcurvature_proximal
0,7.87683124932,139.812423945,15.306122449,,
1,40.0018494796,187.397206376,10.396039604,,
2,7.54127255402,106.990907642,4.16666666667,,
3,8.18417689811,122.202143836,10.1694915254,,
4,7.88815963655,96.8724961221,5.0,,
5,6.0783733664,92.5677885843,8.33333333333,,
6,101.405370815,136.096629591,10.6194690265,,
7,14.5114674603,102.176137602,7.07547169811,,
8,9.15545292293,91.5441007417,7.42574257426,,
9,6.40912115161,100.229872203,11.5384615385,,
10,7.79927457291,109.389321808,6.0,,
11,12.2757720605,148.318168261,5.66037735849,,
12,8.72046177076,83.0516789218,6.88073394495,,
13,7.57452249861,119.013764066,5.76923076923,,
14,18.498313217,135.904614184,10.1694915254,,
15,92.5768259849,232.06762725,7.96460176991,,
16,49.5434456222,110.134206924,9.05172413793,,
17,83.154609906,145.298877887,10.8108108108,,
18,12.6281782598,139.04285075,7.89473684211,,
19,66.2198931895,119.149308986,11.6379310345,,
20,9.48092308467,151.292175884,8.10810810811,,
21,16.4902769683,132.559905299,8.41121495327,,
22,35.811104211,134.638671343,8.10810810811,,
23,50.7191996049,123.495180806,11.0526315789,,
24,7.45993072206,147.378719222,5.55555555556,,
25,8.33696964948,79.9825100657,3.7037037037,,
26,8.16455454583,95.4084473131,2.88461538462,,
27,166.558235122,123.700248594,11.0655737705,,
28,7.71674466063,120.543785554,7.25806451613,,
29,9.89597756476,123.722048663,8.49056603774,,
30,16.6980624933,127.366443816,5.05617977528,,
31,88.4263876082,126.908705757,7.21153846154,,
32,60.6609571624,87.9592779896,8.41121495327,,
33,7.45027032953,91.6508533901,8.65384615385,,
34,9.14918782568,112.580680741,6.12244897959,,
35,27.2178917338,108.634828704,9.90566037736,,
36,108.302369254,106.187456448,11.1111111111,,
37,20.9735627732,95.9595300813,9.18367346939,,
38,40.9552537105,162.16823047,14.0186915888,,
39,13.0880371493,176.619476936,5.76923076923,,
40,6.58579482258,104.274301327,8.82352941176,,
41,9.2378615648,98.4630106591,6.12244897959,,
42,9.74095796242,115.769232512,7.57575757576,,
43,8.82844966218,115.94714751,11.7647058824,,
44,30.8766628784,178.779861811,12.1621621622,,
45,103.590995628,158.641100257,11.6379310345,,
46,50.0168074397,138.333279693,9.18367346939,,
47,10.8006781846,151.356362838,5.30973451327,,
48,12.4630476099,164.163967722,7.89473684211,,
49,7.95011165373,105.619709934,5.88235294118,,
