,left,right,convergence,bladder_mid_um,bladder_mid,sb_cr_um_ms,sb_cr,size_sb,tail_amplitude_list
0,18.4355499291,5.99561554638,24.4311654755,669.006437175,60.6655037231,0.0406367827617,0.0122831448694,364.0,-4.69647199171
1,18.9354060049,5.97819332754,24.9135993324,667.867294647,60.5622062786,0.00643290057734,0.00194445141451,367.0,-5.14193965968
2,17.4793824072,5.90409087385,23.3834732811,667.957413805,60.5703782839,0.0198174132246,0.00599014343734,362.0,-5.02041611531
3,18.4364094448,5.62543455665,24.0618440015,667.205003861,60.5021497501,0.11616745181,0.0351135484339,364.5,-5.02041611531
4,18.9068302616,6.25550913963,25.1623394012,669.683716888,60.7269194474,-0.0644026987082,-0.0194667890629,365.0,-5.02041611531
5,17.4213216139,5.66837175988,23.0896933737,667.974509657,60.5719285357,0.0621067504641,0.0187728004403,363.0,-5.15008233802
6,17.4929292602,5.7122940027,23.2052232629,668.287704026,60.6003290011,-0.0198437554793,-0.00599810582288,363.5,-5.13452743503
7,18.3402940411,6.75340890989,25.093702951,669.141128058,60.6777174923,-0.0598653174415,-0.018095289952,366.0,-5.05214455629
8,19.3410832829,6.88899518688,26.2300784698,668.610338576,60.6295855021,0.00487942069866,0.00147488622985,364.5,-5.13452743503
9,18.7306210941,6.23794526776,24.9685663618,669.009622165,60.6657925379,0.00575291110264,0.00173891326262,368.5,-5.07598818856
10,19.2765761461,6.05245601323,25.3290321594,667.956974768,60.5703384719,0.0421526491887,0.0127413407614,364.0,-5.02041611531
11,18.2358314692,6.0632984915,24.2991299607,668.143372767,60.5872410425,0.00439234597529,0.0013276597768,362.0,-4.93715957186
12,18.2829033498,4.9352689858,23.2181723356,668.691662255,60.6369599332,-0.0299603747642,-0.00905602261206,363.5,-5.13452743503
13,18.241495157,6.29509511466,24.5365902717,669.105504016,60.6744871042,0.0152935808039,0.00462273969098,363.0,-4.93715957186
14,19.9495986948,6.29240822475,26.2420069196,668.659518921,60.6340451758,-0.0997211479704,-0.0301423789932,364.5,-5.13452743503
15,18.239489065,6.63711641878,24.8766054837,668.216578533,60.5938793414,0.00318351282677,0.000962269810439,366.5,-5.13452743503
16,19.4875249837,7.84660166881,27.3341266525,668.192322675,60.5916798202,-0.0270271703309,-0.00816941268535,365.5,-5.13452743503
17,19.7068453325,5.60075889253,25.307604225,669.36039703,60.6976008027,-0.0846241754622,-0.0255790674364,363.0,-5.03038626002
18,19.5256436197,6.24761228651,25.7732559062,666.997499788,60.4833332808,0.0775007199889,0.0234258842953,364.5,-5.13452743503
19,16.7149611308,5.03689405345,21.7518551843,668.26963708,60.5986906904,-0.0151132471692,-0.00456823084434,364.0,-5.20189415584
20,19.5790314913,5.2264149088,24.8054464001,667.741869836,60.5508327568,0.0495250043976,0.0149697579959,364.5,-5.03038626002
21,18.9983081503,5.89977445385,24.8980826041,667.949994105,60.5697054655,-0.0116845336388,-0.00353184503457,365.0,-5.20189415584
22,19.1361466619,6.08164172433,25.2177883863,668.289178455,60.6004627023,-0.0230533033969,-0.00696824517343,362.5,-5.13452743503
23,20.7972751342,6.10920991091,26.9064850451,668.017749627,60.5758495362,-0.0122704801556,-0.00370895713504,367.5,-5.13452743503
24,19.5456944299,6.22188220756,25.7675766375,668.567286576,60.6256815467,-0.0336573768713,-0.0101735031156,367.5,-5.13452743503
25,19.0901669025,6.19455969136,25.2847265938,667.755251878,60.5520462403,0.0579866377776,0.0175274277123,363.5,-5.14193965968
26,18.5836644352,5.39706867992,23.9807331151,667.904956731,60.5656214764,0.142103354638,0.0429531073286,362.0,-5.13452743503
27,18.0595243809,5.40023545447,23.4597598354,667.813241625,60.5573047505,0.067434579352,0.0203832255188,365.5,-5.12713649243
28,17.308962228,5.43740402002,22.746366248,668.006330295,60.5748140312,-0.0230297650239,-0.00696113030788,365.0,-5.02041611531
29,18.2012624763,6.21249737976,24.4137598561,668.721695841,60.6396833789,-0.0696947293081,-0.0210663935122,364.0,-5.07598818856
30,19.6223518812,6.27198155035,25.8943334315,670.273345975,60.780387013,-0.190573481601,-0.0576040110387,365.5,-5.19442890773
31,20.1706922578,6.05881342805,26.2295056858,668.937151281,60.6592208781,-0.0199166234265,-0.00602013137438,364.5,-5.30092651653
32,17.999462557,5.44795608365,23.4474186407,667.622500878,60.5400083796,0.0564441745572,0.0170611924962,363.5,-5.02041611531
33,18.0202696815,5.03799087284,23.0582605543,667.560117019,60.5343514113,0.0633210434432,0.0191398407314,365.0,-5.13452743503
34,17.764050364,5.83739801018,23.6014483742,667.097121282,60.4923669578,0.0651699157497,0.0196986932006,366.5,-5.13452743503
35,18.692570842,6.25433372104,24.9469045631,668.605207557,60.6291202213,-0.0500813617416,-0.0151379262757,363.5,-5.02041611531
36,19.0726299476,5.4287403716,24.5013703192,668.563237121,60.6253143421,-0.0405089870436,-0.0122445164837,366.5,-5.13452743503
37,17.4887274319,5.96892276376,23.4576501956,668.615467743,60.630050615,-0.0913318930115,-0.027606586861,365.5,-5.19442890773
38,19.2748378477,4.9675332933,24.242371141,668.183286544,60.5908604239,-0.00818184585293,-0.00247309927314,363.5,-5.13452743503
39,16.8127948891,5.38267060708,22.1954654961,667.770518195,60.5534305899,0.00949712358451,0.00287066388881,365.0,-5.14193965968
40,19.4150255733,6.73282480363,26.1478503769,667.888087337,60.5640917597,0.0607032704348,0.0183485752101,365.5,-5.13452743503
41,17.847996114,5.27303699584,23.1210331099,667.093269527,60.4920176807,0.0768981016599,0.0232437328617,364.0,-5.13452743503
42,19.0748398356,7.07664092563,26.1514807612,668.046922447,60.5784949275,-0.064321440043,-0.019442227277,366.5,-5.13452743503
43,18.0205936759,4.93673313799,22.9573268139,667.928803588,60.5677839093,0.0138592120603,0.00418917783208,364.5,-5.13452743503
44,18.4331432882,6.56534218619,24.9984854743,668.89980851,60.6558346357,-0.0300692561448,-0.00908893382404,364.5,-5.13452743503
45,18.9284201579,6.63449152722,25.5629116851,668.374904554,60.608236345,-0.0136915608441,-0.00413850245782,364.0,-5.19442890773
46,18.0056244577,5.43412938332,23.439753841,666.974898446,60.4812837911,0.0489566002994,0.0147979483838,366.0,-5.13452743503
47,19.2923567715,6.0478545177,25.3402112892,668.159790455,60.5887297985,0.0406669480842,0.0122922628409,367.5,-5.02041611531
48,18.858751902,6.38173580101,25.240487703,668.398654241,60.6103899666,0.0584507214372,0.0176677047331,366.5,-5.02041611531
49,18.724216299,5.96833970887,24.6925560079,668.146711873,60.5875438327,0.0269636115571,0.00815020098667,368.0,-5.13452743503
50,18.1561736027,6.71607585636,24.8722494591,667.790841785,60.555273533,0.0598350295044,0.0180861349182,366.5,-5.07598818856
51,18.1459401872,6.09738558469,24.2433257719,668.837572923,60.6501911127,0.013553631721,0.00409681108154,364.5,-5.19442890773
52,18.3939390176,6.56998551106,24.9639245286,669.372832932,60.6987284903,-0.0583476314658,-0.0176365440711,363.0,-5.19442890773
53,19.3795235093,6.00962201404,25.3891455233,668.596105399,60.6282948376,-0.108618052454,-0.0328316166551,364.5,-5.19442890773
54,18.7940380111,6.20847515279,25.0025131638,668.788092276,60.6457042076,-0.0359995246207,-0.0108814563087,367.5,-5.13452743503
55,19.8869675673,4.44995919375,24.3369267611,669.063466785,60.6706751681,-0.0677894972271,-0.0204905053618,365.0,-4.93715957186
56,18.2154543378,5.66891117118,23.884365509,668.400372408,60.6105457699,0.0211753494724,0.00640060230053,362.5,-5.10509044659
57,16.9796074188,6.41145940804,23.3910668269,666.785804525,60.4641367543,0.0803857438911,0.0242979308535,362.5,-5.07598818856
58,17.7580887685,6.60414286158,24.3622316301,668.188100199,60.5912969261,-0.0994559583771,-0.0300622210188,369.0,-5.15008233802
59,18.0279684535,6.22756716266,24.2555356162,667.933641832,60.5682226413,0.0829621483481,0.0250766920407,365.5,-5.17180322265
60,19.0852257742,6.64930826744,25.7345340417,668.753294899,60.6425487814,-0.0469423910184,-0.0141891200585,366.5,-5.14937325816
61,17.6244301339,5.40440021153,23.0288303455,668.125566923,60.5856264086,0.0275606633516,0.00833066984242,366.5,-5.14193965968
62,17.9909282237,7.21876615727,25.209694381,666.530500893,60.440985821,0.112915155791,0.034130487757,364.5,-5.30092651653
63,19.5947312959,4.76397548672,24.3587067826,669.316344304,60.6936061015,-0.0635505855376,-0.0192092236552,363.0,-5.02041611531
64,16.6814485318,4.76057919055,21.4420277224,667.970921715,60.5716031811,0.0447649408282,0.0135309494477,366.0,-5.30092651653
65,17.7865776447,6.72465924836,24.5112368931,668.584911313,60.6272797578,-0.0594269488357,-0.0179627857347,363.0,-5.07598818856
66,18.0879143315,6.10073952721,24.1886538587,668.412420156,60.6116382598,-0.0430541957373,-0.0130138482315,364.5,-5.15008233802
67,17.4222624125,7.10121439424,24.5234768068,668.257167878,60.5975599832,-0.0113838932216,-0.00344097145779,362.5,-5.07598818856
68,18.0454057707,5.51881650114,23.5642222719,668.717004062,60.6392579284,-0.029326609299,-0.00886445643745,364.5,-5.13452743503
69,19.6649545527,6.2799921346,25.9449466873,667.594462165,60.5374658291,0.124114955187,0.0375158137878,362.5,-5.13452743503
70,17.404604722,5.71632702332,23.1209317453,667.694850227,60.5465690186,0.0374242381023,0.0113120997037,362.0,-5.22441884455
71,18.3873685159,5.3866422977,23.7740108136,668.067436325,60.5803551259,0.0459322499383,0.0138837880814,365.0,-5.13452743503
72,19.5695618387,6.55190223225,26.121464071,668.228227241,60.5949356462,0.0129160432566,0.00390408934169,363.0,-5.19442890773
73,19.6612343228,6.88301335845,26.5442476812,669.663044752,60.7250448981,-0.0384774327288,-0.0116304453328,364.0,-5.07598818856
74,19.0783435814,6.83072494965,25.9090685311,668.318587529,60.6031295171,-0.081074333586,-0.0245060685653,364.5,-5.15008233802
75,18.0799474513,5.06817731446,23.1481247658,668.832973824,60.6497740663,-0.111702737404,-0.0337640140927,364.5,-5.10365140855
76,18.6488063198,6.5735082596,25.2223145794,668.443494628,60.6144560929,0.0160530111093,0.00485229015797,364.0,-5.30092651653
77,18.9871239357,5.21607411942,24.2031980552,669.021754206,60.6668926714,0.011380899278,0.00344006648844,368.0,-5.02041611531
78,17.8938265013,6.59988653667,24.4937130379,666.967348636,60.4805991743,0.0683569531103,0.0206620283601,363.5,-5.19442890773
79,17.9023885271,6.19537737647,24.0977659035,666.971261534,60.4809539959,0.0255056761165,0.00770951570081,363.5,-5.19442890773
80,18.0865485902,6.60997501681,24.696523607,668.711044813,60.6387175437,-0.00720699892836,-0.00217843554275,363.5,-5.15008233802
81,17.8780754642,6.43406810774,24.3121435719,669.211435861,60.6840930039,-0.0390940820605,-0.0118168378708,364.0,-5.19442890773
82,18.6132494958,4.89821331914,23.511462815,668.106631188,60.5839093161,-0.0178908920058,-0.0054078202903,364.5,-5.30092651653
83,18.2147626722,5.08117893043,23.2959416027,667.396356136,60.5195015744,0.0769942890948,0.0232728071171,366.0,-5.02041611531
84,17.9309927177,5.99328158004,23.9242742977,668.590928165,60.627825366,-0.0217487027778,-0.00657390789297,364.5,-5.02041611531
85,19.1588723404,6.06366659682,25.2225389372,668.559867827,60.6250088145,-0.0408702985347,-0.0123537289037,367.0,-5.07598818856
86,19.455848956,6.23577337289,25.6916223289,667.808449654,60.5568702146,-0.0360843845272,-0.0109071066298,366.5,-5.07598818856
87,19.9694823632,6.6976734507,26.6671558139,668.679594287,60.63586561,-0.0157382547157,-0.00475714979207,363.5,-5.19442890773
88,19.5494867263,7.51513160285,27.0646183291,668.228449785,60.5949558265,0.00245398703588,0.000741758481379,365.0,-5.19442890773
89,19.5730797698,7.02418644798,26.5972662177,667.878696184,60.56324017,0.103375039518,0.0312468286117,363.5,-5.19442890773
90,19.2076811999,5.99363420216,25.2013154021,667.207043245,60.5023346815,-0.0111036737404,-0.00335627044928,367.5,-5.02041611531
91,18.4719453973,4.93625713994,23.4082025373,668.417290042,60.612079861,-0.101889769215,-0.0307978809081,365.5,-5.13452743503
92,19.7525291005,5.50571419261,25.2582432932,668.269349569,60.5986646189,0.0787784229012,0.0238120912956,364.5,-5.13452743503
93,18.518964189,6.03601052694,24.554974716,669.60161351,60.7194743131,-0.0841596222934,-0.0254386484985,364.5,-5.07598818856
94,17.4507374367,6.27295153418,23.7236889709,667.021982016,60.4855533292,0.056557161695,0.0170953447417,367.5,-5.19442890773
95,17.7199027337,7.00837191359,24.7282746473,666.719127222,60.4580904565,0.129964109915,0.0392838182903,368.0,-5.19442890773
96,19.6448344313,7.1174418268,26.7622762581,669.582323284,60.7177250754,-0.0490909037943,-0.0148385438536,364.5,-5.19442890773
97,18.7391495935,6.49055895453,25.229708548,668.198953138,60.5922810706,0.0735604837397,0.0222348822184,363.0,-5.11109516051
98,18.4506744321,5.0298788644,23.4805532965,667.964601378,60.571030053,0.0501340405347,0.015153849319,366.0,-4.98411498258
99,17.7254867138,4.87307293144,22.5985596453,668.88519572,60.6545095479,0.0421323807563,0.0127352142899,364.0,-5.13452743503
100,17.6879487598,5.02971494219,22.717663702,668.764141554,60.6435323561,0.0272983021391,0.00825136679323,362.5,-4.93715957186
101,16.6697063309,6.57050337016,23.2402097011,669.4249612,60.7034554816,-0.0138309806112,-0.00418064440609,364.5,-5.13452743503
