,left,right,convergence,bladder_mid_um,bladder_mid,sb_cr_um_ms,sb_cr,size_sb,tail_amplitude_list
0,9.81682783437,17.4283615136,27.2451893479,617.07950411,57.5982009136,0.0162295509136,0.00504955427424,202.5,-3.49463892725
1,9.30568201778,16.8552853644,26.1609673821,615.585442102,57.4587451658,0.107640383549,0.0334905113348,204.0,-3.9755536726
2,9.33371326927,16.4453872713,25.7791005406,617.101165128,57.6002227531,-0.0397761236073,-0.012375677925,201.0,-3.7553400732
3,8.50142485141,16.4769180209,24.9783428723,617.123199591,57.6022794498,0.0665155455211,0.0206952033965,203.0,-3.7553400732
4,8.75884412819,16.7970304565,25.5558745847,617.349996625,57.623448685,-0.070830737715,-0.0220378035277,201.5,-3.7553400732
5,9.62375963799,16.2620919297,25.8858515677,617.379448494,57.6261977225,-0.115258387529,-0.0358607263067,201.5,-3.9755536726
6,9.10764264346,16.4327339264,25.5403765698,616.438229735,57.5383443635,-0.0513693935179,-0.0159827306365,205.0,-3.9755536726
7,10.0633199496,16.1433319995,26.2066519491,618.231792016,57.7057554668,-0.12121608473,-0.0377143644956,198.0,-3.76985376292
8,9.06321573473,16.3965877617,25.4598034965,616.16948433,57.5132596673,0.058600597015,0.0182325990846,198.0,-3.76985376292
9,9.24146441643,17.0882659406,26.329730357,615.458475369,57.4468940909,0.0584182670321,0.0181758701493,201.0,-3.9755536726
10,9.47486610379,16.5839075824,26.0587736862,615.582073176,57.4584307103,0.0666395127213,0.0207337737247,204.0,-3.76985376292
11,9.65123754686,16.9186064259,26.5698439727,616.211523937,57.5171836443,0.106330547726,0.0330829777492,204.5,-3.9755536726
12,9.24281752684,16.9220928922,26.1649104191,617.146160947,57.6044226627,-0.0426811684141,-0.0132795341993,204.0,-3.9755536726
13,9.07268075659,16.2823106729,25.3549914295,616.432113153,57.5377734417,0.0491112044149,0.0152801327336,201.0,-3.9755536726
14,7.98318918734,16.8672036591,24.8503928465,616.692731722,57.5620995789,0.0396023999937,0.012321626718,199.0,-3.76985376292
15,9.27339258855,15.8678242124,25.141216801,617.983699733,57.682598533,-0.0603078343232,-0.0187637775191,202.0,-3.8290462945
16,9.06118446405,16.3161654331,25.3773498971,616.43480814,57.5380249918,-0.0169477480645,-0.00527300934781,201.0,-3.9755536726
17,7.65488257957,16.5555764638,24.2104590434,617.250633226,57.6141741053,-0.0739492055115,-0.0230080628082,198.5,-3.9755536726
18,7.90871672441,16.7387005386,24.647417263,617.352771722,57.6237077125,-0.0973723547039,-0.0302957852935,197.5,-3.9755536726
19,8.66631242623,16.4037149047,25.0700273309,616.978569161,57.5887796455,0.0477193021834,0.0148470655527,201.0,-3.76985376292
20,9.10947003201,16.6377572268,25.7472272588,616.152345672,57.511659945,0.0619356361278,0.0192702409206,199.5,-3.7553400732
21,8.22493565848,16.5092065736,24.7341422321,616.018146468,57.4991337913,0.0133690035541,0.00415954263914,201.5,-3.9755536726
22,9.7298306532,16.6030139171,26.3328445703,615.729899143,57.472228786,0.148317136748,0.0461464051469,202.0,-3.7553400732
23,8.87527170358,16.9498880636,25.8251597672,617.773890864,57.6630149732,-0.0630877120145,-0.0196286901314,200.5,-3.9755536726
24,9.13896971828,16.4536631657,25.5926328839,617.184606274,57.6080111496,-0.035708118572,-0.0111099859584,198.0,-3.7553400732
25,8.89349364896,16.6779793769,25.5714730259,616.240963194,57.5199315045,0.03241676909,0.0100859374229,201.0,-3.76985376292
26,8.03958810271,16.8367618388,24.8763499415,618.201851422,57.7029608118,-0.0287047774366,-0.00893101308643,199.0,-3.9755536726
27,9.50119224424,16.2312323606,25.7324246048,616.722428997,57.5648715226,0.113549096384,0.0353289088549,200.0,-3.9755536726
28,9.54383605737,16.9783784939,26.5222145513,616.589470964,57.5524612198,-0.0520409743094,-0.0161916818068,199.5,-3.9755536726
29,9.36529369669,16.3763401704,25.7416338671,616.781242678,57.5703611916,0.0762878261658,0.0237356856477,198.0,-3.9755536726
30,9.20657797378,16.8567277819,26.0633057557,617.723438465,57.6583057463,-0.0519230302809,-0.0161549854881,201.5,-3.76985376292
31,9.64641571261,16.0413557883,25.6877715009,618.614913936,57.7415160668,-0.126184727504,-0.0392602748841,194.0,-3.9755536726
32,8.34508439582,16.2256003966,24.5706847925,615.722121393,57.4715028108,0.0234082997003,0.00728310231341,198.0,-3.9755536726
33,9.09147773136,15.9696626644,25.0611403958,618.052706448,57.6890396198,-0.159006583126,-0.04947224823,205.5,-3.9755536726
34,8.8546171366,16.8494601708,25.7040773074,616.858054627,57.5775308189,-0.0258330082152,-0.00803750995602,204.0,-3.76985376292
35,8.20072313467,16.2691225218,24.4698456565,616.511835145,57.5452146924,-0.0384567541948,-0.0119651781218,199.5,-3.76985376292
36,8.89596845124,16.6894632091,25.5854316604,616.112259721,57.5079183224,0.065634269537,0.020421009062,203.0,-3.7553400732
37,9.59302781985,16.9471458635,26.5401736834,615.402596729,57.4416783787,0.165030672224,0.0513465431513,203.0,-3.7553400732
38,9.51050431952,16.5064046919,26.0169090114,616.42750449,57.5373432691,0.0819756284151,0.0255053505209,202.5,-3.9755536726
39,9.37462773312,16.7844669862,26.1590947193,615.870889241,57.4853888018,0.0564640987303,0.0175678632516,202.0,-3.9755536726
40,9.32764308141,16.873066597,26.2007096784,617.206164213,57.6100233677,-0.0847520856865,-0.0263691989266,197.0,-3.9755536726
41,9.088134779,16.6039233568,25.6920581358,618.153107933,57.6984110944,-0.07107029301,-0.0221123371652,203.0,-3.76985376292
