,left,right,convergence,bladder_mid,sb_cr,size_sb,mouth_area,mouth_cr,tail_bend_amplitude
0,14.0173538587,22.5774812077,36.5948350665,59.5332570888,0.0105600993021,365.0,243.5,2.6,8.29127149169
1,14.7103792162,22.2714191828,36.981798399,59.604226139,-0.0183588728168,364.5,245.5,3.0,8.45891240017
2,13.8410805122,22.7510784753,36.5921589875,59.6726547665,-0.0484795293402,363.5,247.5,1.5,8.17123355995
3,15.1892917956,22.3347132162,37.5240050118,59.6621400162,-0.0114935980431,362.0,251.5,-0.6,8.50187941148
4,14.2256805835,22.0855216465,36.3112022301,59.5860575853,0.00744377281229,364.0,256.5,-3.0,8.50187941148
5,13.6003993174,22.0955930388,35.6959923562,59.5124317749,0.0251338594974,366.0,260.5,-4.2,8.50187941148
6,14.1972617748,22.2165279184,36.4137896932,59.4302571198,0.0360875448814,365.5,255.0,-3.4,8.50187941148
7,14.2235656116,22.3025494633,36.5261150749,59.604672026,0.0142453038304,366.0,248.5,-1.4,8.50187941148
8,13.5852083144,21.9515397025,35.5367480169,59.6232764494,0.00155112194152,365.0,241.5,1.6,8.50187941148
9,13.6123756564,21.6856755385,35.2980511949,59.6381010724,0.00787293947786,362.5,239.5,2.7,8.17123355995
10,13.5604534306,22.2859316408,35.8463850714,59.6106948442,-0.0295860412996,362.5,238.0,4.3,9.03296969897
11,14.0800396053,22.8600812322,36.9401208375,59.6758985451,-0.0422922537366,366.0,241.5,2.7,8.50187941148
12,14.6903604133,21.9029075182,36.5932679316,59.6310320591,0.00963020403879,368.0,249.5,0.8,8.50187941148
13,14.5491634437,21.6054988722,36.1546623159,59.6774657698,-0.000991266746126,362.0,253.0,-0.8,8.50187941148
14,14.6247826612,22.7023270862,37.3271097473,59.4627646377,0.0526356927521,371.0,259.5,-2.2,8.50187941148
15,13.833649068,22.0068027052,35.8404517732,59.4644372764,0.0331293559296,371.0,255.0,-1.1,8.50187941148
16,14.4500109157,21.9051307805,36.3551416962,59.6791830793,-0.016417321119,365.0,253.5,-1.5,8.50187941148
17,14.1980169217,22.1785076631,36.3765245848,59.6725094361,-0.027337148881,365.0,249.0,-0.6,8.50187941148
18,15.0150120049,22.2445059992,37.2595180041,59.7259431015,-0.0131570458243,366.0,248.5,0.0,8.50187941148
19,13.268868661,22.2850165199,35.5538851809,59.6300840561,-0.00561376079487,361.5,249.5,-0.7,8.50187941148
20,13.6618259857,22.7046912439,36.3665172296,59.5970964737,0.0327919486996,364.0,246.0,0.0,8.50187941148
21,14.9095291336,22.0791778042,36.9887069378,59.5358236917,0.0140440497663,362.0,246.0,0.2,8.50187941148
22,13.6330346155,22.600308771,36.2333433865,59.6601578724,0.014891267309,362.5,248.5,0.8,8.17123355995
