,left,right,convergence,bladder_mid,sb_cr,size_sb,mouth_area,mouth_cr,tail_bend_amplitude
0,-7.90693868315,19.355454851,11.4485161679,60.9968571854,0.0115354361971,355.5,252.0,-0.5,0.203898710467
1,-8.19471069817,20.1621540633,11.9674433651,60.9167194732,0.0557003311471,362.5,252.0,-0.3,0.550903979219
2,-6.69258987672,19.1683254899,12.4757356131,61.0203510889,-0.000331620862814,355.0,250.5,0.6,0.550903979219
3,-7.23000958983,18.8148029802,11.5847933903,61.0250122959,0.00321727480782,358.0,249.5,0.9,0.550903979219
4,-7.799394727,19.815642297,12.01624757,61.0545343664,-0.0154686024941,357.5,249.5,0.9,0.440728072761
5,-8.16898147342,18.992736455,10.8237549816,61.1952211289,-0.0240915328021,356.0,250.5,0.0,0.440728072761
6,-8.79104302234,19.2617479194,10.4707048971,61.0186929845,0.0314433411374,354.5,253.5,-0.6,0.440728072761
7,-8.91789923652,19.6874173988,10.7695181623,61.04109867,0.00772516775951,355.0,254.0,-0.7,0.440728072761
8,-8.2995295622,19.7781872375,11.4786576753,60.9771913539,0.0173487902876,353.5,254.0,-0.9,0.440728072761
9,-7.14932278163,19.6190825272,12.4697597455,61.0747634649,0.0122876574703,352.0,250.5,0.2,0.550903979219
10,-8.60921090638,19.7432959797,11.1340850733,61.1759096902,-0.0379443793431,355.0,250.5,0.4,0.440728072761
11,-7.27282592357,19.7172402288,12.4444143053,61.0797245088,-0.0116694874279,353.0,250.5,0.7,0.550903979219
12,-6.86687634323,19.0903956005,12.2235192573,61.0639353053,-0.00814706134239,352.0,249.5,0.4,0.662349447372
13,-8.12484834484,19.1276788209,11.0028304761,61.1362017523,0.00973651760051,358.0,251.5,-0.2,0.550903979219
14,-8.36669463155,19.5089500961,11.1422554645,60.9861877935,0.0177294848584,352.0,252.5,-0.6,0.440728072761
15,-8.61280692267,18.7175769298,10.1047700071,61.0213770716,0.0113338722577,351.0,254.0,-0.9,0.550903979219
16,-7.66771631629,20.060976338,12.3932600217,61.0231999986,0.0410362590741,353.0,251.5,-0.2,0.440728072761
