,left,right,convergence,bladder_mid,sb_cr,size_sb,mouth_area,mouth_cr,tail_bend_amplitude
0,18.7387392902,14.5431202663,33.2818595566,59.4127781767,-0.0307459762784,368.0,264.0,-3.2,10.3636918224
1,19.1574802219,14.9148686851,34.072348907,59.2630739766,0.0256115276252,370.0,259.5,-1.0,12.6481737438
2,18.6442111894,14.3443056601,32.9885168494,59.3463299398,0.0418116670627,367.5,255.5,1.1,12.862751019
3,18.6231851159,14.636664089,33.2598492049,59.2398321445,0.0564331495258,369.0,247.0,2.8,12.7175127642
4,18.2497196717,14.3758413185,32.6255609902,59.2590482953,0.0310528149431,368.0,248.0,2.2,12.5288077092
5,17.9239449669,15.9954459359,33.9193909027,59.3911316147,-0.00635452316474,365.0,254.5,-0.2,12.9294709649
6,18.3842026063,15.0446514854,33.4288540917,59.5553882751,-0.0543359335437,364.0,261.0,-2.8,13.0769619199
7,18.5179297148,14.7431156618,33.2610453766,59.5219978921,-0.0349268596899,367.0,261.0,-3.3,12.6481737438
8,18.875265828,13.700118573,32.575384401,59.41431237,-0.021785070821,368.0,259.0,-2.2,12.7175127642
9,19.0981190679,15.0218609769,34.1199800448,59.3593589989,0.0148492432175,368.5,253.5,-0.1,12.7175127642
10,18.9786984629,14.9931142391,33.9718127021,59.2837086074,0.0466410574472,368.0,247.0,2.2,12.6224664398
11,19.3822798838,14.0920265309,33.4743064147,59.3473635936,0.00776865708401,362.5,244.5,3.3,12.45824644
12,18.6777611955,14.7411301683,33.4188913637,59.3053870159,-0.00863280191496,366.5,248.0,2.4,12.7175127642
13,18.1015114158,13.7817265753,31.8832379911,59.433605215,-0.0224975062658,368.0,253.0,1.0,12.7175127642
14,17.2276559822,13.0358236395,30.2634796217,59.5169138946,-0.0426542013084,364.0,258.0,-1.8,12.5288077092
15,18.693567344,14.0297852173,32.7233525613,59.3862068791,-0.00702074541278,371.5,261.0,-2.7,12.7175127642
16,19.4396647241,13.6463298781,33.0859946022,59.2622230063,0.0341796365845,368.0,260.0,-2.6,12.7175127642
17,18.5614150558,14.3016732493,32.8630883051,59.3211176837,0.0196023626221,368.0,258.0,-1.7,12.4116385892
18,18.2559939196,15.0035700912,33.2595640108,59.3036428881,0.00268348526837,366.5,249.0,0.3,12.45824644
19,18.7239301025,14.0357599994,32.7596901019,59.351103152,-0.00368666388194,363.0,247.5,1.0,12.45824644
20,18.6811269583,14.8951120185,33.5762389768,59.4331211893,-0.00282520865192,365.0,247.0,0.9,12.45824644
21,18.6595288227,14.9819972444,33.6415260672,59.4191294968,0.00874915456375,366.0,249.5,0.6,12.45824644
22,19.0987395507,14.62349377,33.7222333207,59.3170603144,0.0323739729698,367.5,250.5,0.7,12.45824644
23,18.9083012689,15.1795956577,34.0878969267,59.3326698326,0.0274111149177,368.0,252.5,1.0,12.45824644
24,19.1574119282,14.6021371661,33.7595490943,59.418995146,0.0122751284454,366.5,251.5,1.8,12.45824644
25,18.8494276954,15.1522728324,34.0017005277,59.4628752696,-0.00435626455542,364.5,252.5,1.6,12.7175127642
26,19.047053147,13.8757087941,32.922761941,59.4789301793,-0.00443778140333,365.0,254.0,1.5,12.7175127642
27,17.6740575243,13.9360189415,31.6100764658,59.4697254072,-0.0303113458723,364.0,257.5,-0.9,12.7175127642
28,18.8196323009,14.3026270257,33.1222593266,59.4803707882,-0.0343098875702,364.0,260.5,-2.8,12.7175127642
29,17.6644984497,14.0538289854,31.7183274351,59.4410939468,-0.0369611983162,367.0,260.5,-2.9,12.5288077092
30,18.1558517658,14.5212514773,32.6771032431,59.4567412723,-0.0202681526135,366.0,261.5,-3.3,12.7175127642
31,18.9629524285,14.6370203861,33.5999728145,59.3181686778,0.00585995812695,367.0,253.0,-0.5,12.7175127642
32,18.8219375233,14.1791380773,33.0010756006,59.3088213504,0.0113254205693,365.5,246.5,2.2,12.45824644
33,18.4938938467,14.7480716534,33.2419655001,59.2562879552,0.0275287756168,366.0,246.0,3.5,12.45824644
34,18.6763650013,14.4355662777,33.111931279,59.3554005092,0.0146371452593,363.0,245.0,3.7,12.45824644
35,18.5684188011,14.2246849295,32.7931037305,59.3474684685,0.0231099162655,366.5,250.5,1.7,12.7175127642
36,18.8053667631,14.4096943626,33.2150611258,59.3654484532,-0.0220380134313,369.0,257.5,-0.3,12.7175127642
37,18.6805718063,14.5150401667,33.195611973,59.3939318333,-0.0128906050563,370.0,263.5,-2.1,12.7175127642
38,18.9312028708,15.1033799167,34.0345827874,59.4285862355,0.00328809353986,368.0,263.5,-2.6,12.7175127642
39,19.369678915,15.5079090275,34.8775879424,59.4630180498,-0.0179379968663,366.5,259.0,-1.6,12.7175127642
40,18.9053068067,14.1804402147,33.0857470213,59.2552583861,0.0229332444133,369.5,256.0,-1.4,12.7175127642
41,18.6823654621,14.0841308745,32.7664963365,59.329478808,-0.00355350537355,369.5,253.0,-1.1,12.7175127642
42,18.6703636872,13.6491568452,32.3195205324,59.4450267032,-0.0328968136995,366.0,250.5,-0.6,12.7175127642
43,18.748976742,14.7635108094,33.5124875514,59.3733280654,-0.0124005130877,366.5,251.0,-0.7,12.7175127642
44,18.9929073634,15.0550394981,34.0479468615,59.3699246081,0.0173857357395,365.0,249.0,1.9,12.7175127642
45,19.1298095797,15.2128076309,34.3426172106,59.3117112812,0.0274699690175,364.0,247.5,3.0,12.45824644
46,19.4095323296,15.678278494,35.0878108235,59.2805426347,0.0667273564736,366.5,247.5,3.4,12.45824644
47,19.4904259164,14.8001979966,34.290623913,59.3113255,0.0646018868631,364.5,247.5,3.2,12.45824644
48,19.2743879649,14.4367687497,33.7111567146,59.4568532868,-0.0183081039614,363.0,258.5,-0.1,12.7175127642
49,18.9366587263,13.7436500811,32.6803088074,59.4490611263,-0.033128235332,363.0,262.5,-2.7,12.6698142649
50,19.0750438359,13.6510478562,32.7260916921,59.6141794171,-0.0754607221211,363.0,264.5,-3.9,12.7175127642
51,18.5123731449,14.1349700979,32.6473432429,59.6343349343,-0.0527217137301,360.5,263.5,-3.9,12.7175127642
52,17.7434981055,13.7826952312,31.5261933367,59.365312767,0.00361411892231,365.5,258.0,-2.4,12.7175127642
53,19.029280315,14.5537252755,33.5830055905,59.2834199496,0.0152936664593,369.0,249.0,-0.4,12.45824644
54,18.8177926291,14.3846562149,33.202448844,59.2368758065,0.0316274674663,365.5,245.0,1.2,12.45824644
55,18.6471064259,14.185742973,32.8328493989,59.3707263657,0.0125068680415,363.0,244.0,2.4,12.4606255364
56,18.5827808756,13.7872238889,32.3700047645,59.3833833616,0.00983695283242,364.5,246.0,2.6,12.45824644
57,18.3062573708,14.5115073775,32.8177647483,59.3598882819,0.00665636731054,363.5,247.0,3.0,12.7175127642
58,18.6555650079,14.6176270677,33.2731920755,59.3950131438,0.000453327016842,366.0,251.0,1.7,12.7175127642
59,18.2914691459,14.5260460804,32.8175152263,59.4332607059,0.00404677306102,367.0,256.0,-0.4,12.7175127642
60,18.9327109441,13.7725490814,32.7052600255,59.4325681258,0.0137043388104,367.0,259.0,-1.4,12.7175127642
61,19.7744410128,15.1319349317,34.9063759445,59.3931701184,-0.0114939162916,369.0,262.0,-2.2,12.7175127642
62,18.4271202273,14.3253258012,32.7524460285,59.3972797789,0.0102354207342,365.5,259.5,-2.0,12.7175127642
63,18.8794743213,13.4094873089,32.2889616302,59.4534945712,-0.022293446706,362.0,254.0,-1.1,12.7175127642
64,18.796384029,14.9640925582,33.7604765872,59.5010898199,-0.0175429190232,364.5,252.0,-0.6,12.7175127642
65,18.8257532484,13.3870721083,32.2128253566,59.335700537,0.00450237177534,365.0,251.0,-0.5,12.7175127642
66,18.9259584243,14.2020078034,33.1279662277,59.4484568826,-0.00695717880491,363.0,249.5,-0.1,12.6698142649
67,18.8310242992,14.864273605,33.6952979042,59.3420273377,0.0111339119145,363.5,248.5,0.7,12.45824644
68,19.5914303485,14.5268831023,34.1183134508,59.4133752247,0.0214284360001,366.0,249.0,2.1,12.45824644
69,19.1724375686,13.6064390585,32.778876627,59.3582123959,0.0453759415449,368.5,248.5,2.8,12.45824644
70,18.4349753856,14.3783441365,32.8133195221,59.4136709885,0.0501627941361,363.0,249.0,2.7,12.45824644
71,18.5884814057,14.2851232982,32.873604704,59.3976968972,0.0126230946111,365.0,252.0,1.9,12.7175127642
72,18.7786090312,14.7591812214,33.5377902527,59.5205174047,-0.0437512662074,361.0,259.5,-1.7,12.7175127642
73,19.1698962636,13.6912987239,32.8611949875,59.5850921036,-0.0548824487936,368.5,262.5,-3.9,12.7175127642
74,18.9937595486,13.9520432837,32.9458028324,59.6644849592,-0.0573858115383,366.0,262.5,-3.9,12.7175127642
75,18.5140605627,14.2142577109,32.7283182736,59.4608123703,-0.00669751366042,369.0,261.5,-3.7,12.7175127642
76,18.0581432096,14.5226707083,32.580813918,59.3017610737,0.0210782141806,366.0,251.0,-1.0,12.7175127642
77,18.7672401277,15.5156156577,34.2828557854,59.3106798596,0.00988604651065,366.0,243.0,1.1,12.45824644
78,18.5908371056,14.8580960804,33.448933186,59.3775559015,-0.00137547744607,360.0,243.0,2.4,12.3194452566
