,left,right,convergence,bladder_mid,sb_cr,size_sb,mouth_area,mouth_cr
0,2.77689978271,17.5350450308,20.3119448136,59.91429011,-0.0233228635659,269.5,185.5,-0.2
1,2.7305252162,18.0568133641,20.7873385803,59.9616564823,0.0081483462082,268.5,182.5,1.2
2,3.40552801916,18.1406310872,21.5461591064,59.9945459357,-0.0336108472972,269.5,184.0,0.1
3,3.54320581848,18.141173466,21.6843792845,59.8345443572,-0.0125153500723,270.0,184.5,1.0
4,2.89916753675,17.888007973,20.7871755098,59.7976757921,0.014345291053,269.5,184.5,0.8
5,2.64139837008,17.8435648956,20.4849632657,60.0023982133,-0.0191703446778,270.0,188.5,0.2
6,4.31821907851,17.5438541557,21.8620732342,59.8264916992,0.00460083284052,270.0,184.5,0.8
7,3.40240017364,17.8923248472,21.2947250208,59.7719676068,0.0192396987894,267.5,189.5,-0.5
8,3.38038225921,17.2319601114,20.6123423706,59.8694022474,0.00315135691432,266.0,188.5,-0.5
9,3.27875196965,18.0149222802,21.2936742499,59.9065464899,-0.0505468536109,270.0,189.5,-0.4
10,2.82334828828,17.358328666,20.1816769543,59.8494958634,0.0202448930825,268.5,188.5,-0.5
11,2.90624203169,17.0802082587,19.9864502904,59.8681661008,-0.0138177184239,267.0,187.0,-0.7
12,3.61560072965,17.4334971051,21.0490978348,59.885159032,-0.00936385934002,272.0,186.0,0.3
13,2.90832883981,18.1661717561,21.0745005959,59.6538122219,0.0362518634174,269.0,187.5,-0.3
14,2.26746385186,18.0271310008,20.2945948526,59.9507203288,-0.000665005610037,270.0,186.0,-0.3
15,4.36629349672,17.8232964037,22.1895899005,59.7990775087,0.048962974314,270.5,183.5,0.5
16,2.67740531111,18.3545312546,21.0319365657,59.8383397353,-0.0106014709518,269.5,187.5,0.0
17,2.55910800263,18.2177049962,20.7768129989,59.835071539,-0.00256391156354,265.0,186.0,0.5
18,3.05538916868,18.2512397816,21.3066289503,59.9473953008,-0.0112640602303,268.0,184.5,1.2
19,4.08188234819,16.9869392897,21.0688216379,60.0438923802,-0.00482030588683,269.5,186.0,0.9
20,2.94434084645,17.5036706587,20.4480115052,59.7853323805,0.0409029274124,268.0,187.5,-0.6
21,2.5986535377,17.7522070629,20.3508606006,59.8222519811,0.0440794486973,272.0,188.5,-0.3
22,4.15696449841,18.0117587991,22.1687232976,59.8910749996,0.0150366676218,271.0,190.5,-1.0
23,2.84522559735,19.036268602,21.8814941994,60.0197908508,-0.0263874792516,273.0,190.5,-1.1
24,3.08559614395,17.6163892977,20.7019854417,59.9898470176,0.00064350768823,271.0,184.5,0.4
25,2.40231208336,17.7112937399,20.1136058233,60.0426492246,-0.013755169549,271.0,187.0,-0.1
26,2.71409613298,18.7513253902,21.4654215232,59.9662583377,0.00260204902032,269.0,185.5,0.2
27,2.67476468814,18.2876143005,20.9623789886,59.8878534545,0.0154937631016,272.5,185.0,0.0
28,1.93167798666,18.6216084906,20.5532864773,59.993064556,-0.0160395308862,268.0,186.5,0.0
29,2.30270937782,18.3807765211,20.6834858989,59.9738733769,-0.0216026440503,271.5,186.5,0.2
30,2.2631634215,18.9410253813,21.2041888028,59.9792685828,-0.0412940362971,270.5,186.5,0.2
31,2.57508289867,17.3919159316,19.9669988303,59.96532227,-0.0186615270255,270.5,185.0,0.9
32,1.79889788453,18.0847698025,19.8836676871,59.9128669016,-0.0124876684253,264.5,186.5,0.2
33,2.60869675124,18.0626752118,20.6713719631,59.8658601566,-0.00340379567561,272.0,187.5,0.0
34,3.280346316,17.9557379137,21.2360842297,59.7727984013,0.0151585331977,270.5,187.5,0.0
35,3.33585871818,18.4185343218,21.75439304,59.8720146349,0.0209418352249,270.5,189.5,-0.4
36,3.28794050273,18.7430435354,22.0309840381,59.8504285595,-0.00580447253477,267.0,187.5,-0.5
37,2.52563678633,18.3078581086,20.8334948949,59.8488411783,0.0236646188073,272.0,187.5,-1.0
38,3.61629084724,17.4059455651,21.0222364123,59.8485910673,0.00164481910614,271.5,187.5,-0.4
39,2.63277674511,18.7299561691,21.3627329142,59.976723811,0.00424091398487,269.5,187.5,0.0
40,2.75876805993,18.938233309,21.6970013689,59.8214061968,0.0344049473267,271.0,185.0,0.5
41,3.61475894754,18.9527018585,22.5674608061,59.9671642723,-0.0284384690772,270.0,182.5,1.0
42,1.80456277016,17.9087968182,19.7133595884,59.8568151629,-0.0029463510714,271.0,185.5,0.2
43,1.54140617899,18.0031895834,19.5445957623,59.997928381,-0.0299686210785,268.5,187.5,-0.5
44,2.89768461866,19.095303874,21.9929884927,59.9934309334,-0.011531951127,271.0,187.5,-0.2
45,3.09519189923,17.8589640108,20.95415591,59.8249719269,0.00699669631548,268.5,187.5,0.0
46,3.56919879715,17.4276080963,20.9968068935,59.8420834075,0.0195240239689,270.0,186.5,0.4
47,3.30281565104,18.0893551866,21.3921708377,59.8480852756,0.00552844576295,269.0,185.0,0.9
48,2.46839731766,18.3229189417,20.7913162594,59.9357711778,0.000635890513162,271.5,186.5,0.4
49,2.75652411613,17.6145206961,20.3710448122,59.8599554085,0.00456522329049,269.0,187.5,-0.5
50,1.27131990392,18.5539633464,19.8252832503,59.9397035273,0.00529496110871,268.5,188.5,-1.1
51,2.38904359337,17.9106775011,20.2997210945,59.8757275044,0.0223643351376,269.0,189.5,-1.0
52,2.36504196518,17.7149732929,20.0800152581,59.9389506304,-0.0229629681137,275.5,188.5,-0.4
53,2.97575981269,18.0287426945,21.0045025072,59.8827815249,-0.00295893742491,270.5,185.0,0.3
