,left,right,convergence,bladder_mid_um,bladder_mid,sb_cr_um_ms,sb_cr,size_sb,tail_amplitude_list
0,28.1540715797,9.73819954881,37.8922711285,675.036316766,61.2122932043,0.0195872541492,0.00592057402083,334.5,-1.49340643009
1,27.6344624671,10.4358921442,38.0703546113,674.748551708,61.1861986689,0.0502476753382,0.0151881973322,332.5,-1.9269815896
2,28.0750417679,9.99702835719,38.0720701251,675.630228187,61.266149092,0.0624240532814,0.0188687105052,332.5,-1.9269815896
3,29.6224749512,9.91887807255,39.5413530237,674.979993773,61.2071858353,0.0264095610354,0.00798272998229,331.5,-1.9269815896
4,28.023153924,9.89285743836,37.9160113624,675.362771001,61.2418960744,0.0352250796959,0.0106473674228,333.5,-1.9269815896
5,28.8964192263,10.1216419939,39.0180612203,675.586012964,61.2621396555,-0.117696594827,-0.0355757573964,333.0,-1.9269815896
6,29.5339540758,11.1926423022,40.7265963779,676.670629075,61.3604926445,-0.0492166404293,-0.0148765498471,328.5,-1.9269815896
7,28.2030069566,10.1403450819,38.3433520384,675.420153123,61.2470994852,0.0224132288398,0.00677477197065,330.5,-2.24783923876
8,27.9709128068,9.24617872302,37.2170915298,675.949855663,61.2951329115,-0.0731296313028,-0.0221046498885,331.0,-1.9269815896
9,29.342620867,9.60115246957,38.9437733366,673.62440305,61.0842608686,0.12223448748,0.0369474110824,327.5,-1.9269815896
10,27.5907635886,10.4076102939,37.9983738825,675.850351735,61.2861098953,0.0401989936431,0.0121508158119,330.5,-1.9269815896
11,27.5500568102,10.5484958285,38.0985526387,675.793706937,61.2809733451,-0.0237558684622,-0.00718060717383,331.5,-1.9269815896
12,27.4804292952,10.8418660296,38.3222953248,674.731028475,61.1846096621,0.0282022204926,0.00852459118089,329.5,-1.93058744117
13,28.1006542861,10.9949764573,39.0956307434,675.661644508,61.268997924,-0.0389139868248,-0.0117624010843,331.0,-1.9269815896
14,29.194483339,10.7590410132,39.9535243523,676.520334962,61.3468639744,-0.0215772668281,-0.00652208851989,334.0,-2.13293518281
15,27.3312503039,10.8522451919,38.1834954957,675.397775796,61.2450703092,0.000381800280672,0.000115405498171,329.0,-1.9269815896
16,28.0286018132,10.1551760319,38.1837778451,675.201065483,61.227232618,0.0166956827488,0.0050465483722,331.0,-1.9269815896
17,28.5704613327,10.4954810044,39.0659423371,675.013078061,61.2101859185,0.0570678144799,0.0172496980568,329.0,-1.9269815896
18,28.2593048878,10.4417402071,38.7010450949,676.160713848,61.3142535318,-0.0783606589755,-0.0236858151863,330.0,-1.9269815896
19,29.6894698176,9.74941455734,39.4388843749,675.404139134,61.2456473367,0.0403939743551,0.0122097519817,331.0,-1.9269815896
20,28.3420219347,10.7526722717,39.0946942064,675.479326862,61.2524653598,0.0479057551178,0.0144803129136,326.5,-2.13293518281
21,30.2015250912,10.2164085644,40.4179336556,675.964208302,61.2964344088,-0.0784893595397,-0.0237247170769,330.5,-1.9269815896
22,28.0219076981,10.8487559261,38.8706636242,674.854702865,61.1958244558,0.0713221646714,0.0215583129747,332.5,-1.9269815896
23,28.5557634686,10.427980217,38.9837436856,676.07737204,61.3066960966,0.0222311733646,0.00671974266901,331.5,-1.9269815896
24,28.2894949999,9.97455381572,38.2640488156,676.277756114,61.3248669244,0.0409403200081,0.0123748940611,330.5,-1.9269815896
25,27.620247188,10.6918093578,38.3120565459,674.65605231,61.1778108234,0.0839271282097,0.0253683732868,328.5,-1.9269815896
26,27.8408596796,10.1246914767,37.9655511563,676.04340561,61.3036160207,-0.0387398945125,-0.0117097787813,330.5,-1.9269815896
27,28.150674818,10.5969802033,38.7476550214,676.447891596,61.34029481,-0.0746502097419,-0.0225642700647,331.5,-1.9269815896
28,28.3905470419,10.0126700629,38.4032171047,676.960094781,61.3867413947,-0.0666371891298,-0.0201422010343,332.0,-1.9269815896
29,28.0765529199,10.0382345076,38.1147874274,676.05483778,61.3046526899,-0.0882834904836,-0.0266851563902,332.5,-1.9269815896
30,27.9895452071,9.73398040451,37.7235256116,675.397740701,61.2450671268,0.0107100750072,0.00323729867216,333.0,-1.9269815896
31,27.7734564141,10.1759956185,37.9494520326,675.203721434,61.2274734596,0.0524733223216,0.0158609362271,329.5,-1.9269815896
32,28.2369866495,10.4792649654,38.7162516149,675.849474962,61.2860303895,-0.0527287641958,-0.0159381477909,328.5,-1.9269815896
33,28.1331951498,9.31624391075,37.4494390605,674.583446272,61.1712269079,-0.00694699761608,-0.00209984581275,329.5,-1.9269815896
34,27.7736183186,10.0193961667,37.7930144853,675.576241951,61.2612536202,-0.00992427781802,-0.00299977837513,330.5,-1.9269815896
35,28.4334028418,10.0364438,38.4698466418,676.078276806,61.3067781408,-0.0689522234299,-0.0208419587354,333.5,-1.9269815896
36,28.7082864928,9.72266455554,38.4309510483,674.970662225,61.2063396506,-0.0436063218005,-0.0131807375362,330.0,-2.13293518281
